College,State,OutStateTuition,Type,MathSAT,VerbalSAT,PercAccepted,PercEnrolled,NumberFTUGs,NumberPTUGs,RoomBoardCosts,BookCosts,FacultyPhDs,StuFacRatio,Expenditure,GradRate,id
Eastern Michigan University,MI,6360,Public,6,5,0.81,0.413,13142,6421,4031,600,0.74,20.6,5955,0.49,246
Hillsdale College,MI,11090,Private,8,7,0.81,0.466,1133,42,4700,400,0.8,12,12639,0.79,247
Michigan State University,MI,10658,Public,7,6,0.833,0.409,26640,4120,3734,504,0.93,14,10520,0.71,248
Michigan Technological University,MI,8127,Public,9,7,0.874,0.451,5524,414,3978,900,0.82,17,7473,0.65,249
University of Detroit Mercy,MI,11130,Private,6,5,0.789,0.568,2149,2217,3996,600,0.72,13.5,10891,0.51,250
Center for Creative Studies,MI,11230,Private,6,6,0.659,0.513,525,323,6643,2340,0.08,6.8,13025,0.47,251
Northwood University,MI,9450,Private,4,6,0.913,0.286,1650,5180,4385,600,0.33,91.8,5568,0.35,252
University of Michigan at Ann Arbor,MI,15732,Public,9,7,0.676,0.378,22045,1339,4659,476,0.9,11.5,14847,0.87,253
Augsburg College,MN,11902,Private,8,6,0.775,0.501,2074,726,4372,540,0.65,12.8,7836,0.58,254
College of Saint Benedict,MN,12247,Private,7,6,0.921,0.591,1715,103,4221,500,0.7,13.1,8847,0.72,255
College of Saint Catherine,MN,12224,Private,6,6,0.804,0.453,1692,562,4440,450,0.63,11.5,7315,0.77,256
College of St. Scholastica,MN,11844,Private,6,5,0.887,0.466,1350,275,3696,450,0.54,11.6,8996,0.72,257
University of St. Thomas,MN,11712,Private,7,6,0.878,0.458,4106,982,4037,500,0.8,13.8,8546,0.89,258
Gustavus Adolphus College,MN,14125,Private,8,7,0.81,0.458,2281,50,3600,400,0.79,12.5,9907,0.8,259
Hamline University,MN,13252,Private,8,7,0.82,0.398,1362,102,4194,450,0.89,13,10296,0.65,260
Saint John's University,MN,12247,Private,8,6,0.857,0.555,1691,72,4081,500,0.76,12,9853,0.7,261
Saint Olaf College,MN,14350,Private,8,7,0.744,0.445,2888,105,3750,550,0.82,10,12502,0.83,262
University of Minnesota at Morris,MN,9843,Public,10,8,0.599,0.673,1846,154,3180,600,0.74,14.6,6716,0.51,263
Winona State University,MN,4200,Public,6,6,0.616,0.636,5800,872,2700,300,0.53,20.2,5318,0.58,264
University of Minnesota Twin Cities,MN,8949,Public,8,6,0.579,0.551,16502,21836,3744,714,0.88,12.2,16122,0.45,265
Avila College,MO,8950,Private,6,6,0.799,0.289,651,490,3800,500,0.57,10.6,6639,0.54,266
Lindenwood College,MO,9200,Private,5,5,0.598,0.736,2155,191,4800,1000,0.65,24.1,3480,1,267
Maryville University,MO,9250,Private,7,6,0.723,0.426,1343,1751,4550,425,0.52,13.1,5925,0.61,268
Missouri Valley College,MO,8550,Private,5,5,0.75,0.321,1057,175,5050,400,0.35,17.4,4333,0.27,269
Stephens College,MO,13900,Private,6,5,0.9,0.479,614,388,5200,450,0.46,10.9,9995,0.59,270
University of Missouri at Columbia,MO,9057,Public,8,7,0.705,0.634,14782,1583,3485,600,0.87,12.7,10145,0.58,271
University of Missouri at Rolla,MO,9057,Public,10,7,0.973,0.451,3926,561,3600,700,0.88,14.4,9699,0.49,272
Webster University,MO,9160,Private,6,7,0.695,0.489,1739,1550,4340,500,0.68,20.6,6951,0.48,273
Westminster College,MO,10720,Private,7,6,0.835,0.333,665,37,4050,600,0.66,12.5,7925,0.62,274
William Jewell College,MO,10060,Private,8,7,0.825,0.576,1279,75,2970,500,0.74,11.2,7885,0.59,275
William Woods University,MO,10535,Private,6,6,0.928,0.522,851,120,4365,550,0.39,12.9,7438,0.52,276
Millsaps College,MS,11320,Private,8,8,0.922,0.382,1073,179,4402,550,0.82,12.7,11218,0.58,277
University of Southern Mississippi,MS,4652,Public,7,5,0.717,0.512,9260,1387,2470,500,0.78,18.7,5917,0.45,278
Carroll College,MT,8650,Private,6,7,0.93,0.53,1093,322,3815,390,0.49,14.1,5862,0.58,279
Montana College of Mineral Sci. & Tech.,MT,6073,Public,8,6,0.951,0.588,1470,416,3400,550,0.71,16.4,6112,0.74,280
Montana State University,MT,5552,Public,7,5,0.81,0.627,8730,993,3710,550,0.75,17.6,6324,0.37,281
Rocky Mountain College,MT,8734,Private,5,5,0.7,0.689,743,118,3362,600,0.56,11.3,6422,0.68,282
University of Montana,MT,6311,Public,6,6,0.848,0.556,7754,1388,3957,550,0.75,21.7,5862,0.3,283
North Carolina A. & T. State University,NC,6806,Public,5,4,0.642,0.463,6162,871,1780,600,0.72,16.7,7090,0.44,284
Appalachian State University,NC,6806,Public,7,6,0.638,0.41,9940,1035,2540,96,0.83,18.3,5854,0.7,285
University of North Carolina at Asheville,NC,5972,Public,8,7,0.557,0.402,2033,1078,3420,600,0.77,13,7011,0.37,286
Barton College,NC,7420,Private,5,4,0.834,0.356,1135,505,3440,500,0.55,13.7,5930,0.67,287
Belmont Abbey College,NC,9000,Private,6,5,0.782,0.261,709,131,4850,300,0.78,13.2,7550,0.52,288
Campbell University,NC,7550,Private,6,5,0.642,0.491,3191,1204,2790,600,0.77,21.8,3739,0.63,289
Catawba College,NC,9270,Private,6,5,0.813,0.331,915,80,4100,600,0.75,13.5,8425,0.55,290
Davidson College,NC,17295,Private,10,8,0.403,0.473,1601,6,5070,600,0.95,12,17581,0.94,291
Duke University,NC,18590,Private,10,9,0.282,0.407,6188,53,5950,625,0.95,5,27206,0.97,292
East Carolina University,NC,7248,Public,6,5,0.686,0.383,13171,1687,3240,500,0.74,13.2,9002,0.58,293
Elon College,NC,9100,Private,6,5,0.769,0.308,2933,334,3883,490,0.7,18.9,6329,0.63,294
Fayetteville State University,NC,6806,Public,5,4,0.731,0.425,2632,617,2550,350,0.75,15.1,6972,0.24,295
Gardner Webb University,NC,8180,Private,5,5,0.838,0.357,1603,374,4270,500,0.65,15.2,5664,0.29,296
Greensboro College,NC,8330,Private,6,5,0.812,0.356,649,314,3770,550,0.64,13,7949,0.39,297
Guilford College,NC,13404,Private,7,7,0.877,0.309,1410,299,5160,450,0.78,15.6,9114,0.65,298
High Point University,NC,7550,Private,6,5,0.814,0.302,2045,359,4050,600,0.55,17.8,4947,0.62,299
Lenoir-Rhyne College,NC,10100,Private,6,5,0.759,0.349,1188,166,4000,400,0.88,12,8539,0.66,300
Mars Hill College,NC,6950,Private,5,5,0.827,0.441,1111,244,3550,600,0.6,11.9,6786,0.69,301
Montreat-Anderson College,NC,8438,Private,5,5,0.848,0.462,316,20,3372,500,0.42,11.1,11989,0.15,302
North Carolina Wesleyan College,NC,8242,Private,5,4,0.849,0.283,646,84,4230,600,0.77,12.7,10090,0.52,303
Pembroke State University,NC,6360,Public,5,4,0.82,0.568,2174,529,2760,550,0.77,15,6443,0.48,304
Pfeiffer College,NC,8640,Private,5,4,0.777,0.244,654,162,3700,400,0.62,12.2,7634,0.48,305
Queens College,NC,11020,Private,7,6,0.76,0.393,630,549,4970,610,0.73,14,9315,0.58,306
Salem College,NC,10475,Private,7,6,0.848,0.465,534,216,6300,500,0.68,11.2,9599,0.6,307
St. Andrews Presbyterian College,NC,10375,Private,6,6,0.96,0.284,612,150,4575,500,0.79,13.8,9332,0.56,308
North Carolina State University at Raleigh,NC,8400,Public,8,6,0.664,0.45,16505,5481,6540,600,0.92,17.5,9670,0.62,309
University of North Carolina at Chapel Hill,NC,8400,Public,8,7,0.41,0.557,14609,1100,4200,550,0.88,8.9,15893,0.83,310
University of North Carolina at Charlotte,NC,7248,Public,6,5,0.765,0.39,10099,3255,3109,600,0.79,16.8,6227,0.62,311
University of North Carolina at Greensboro,NC,8677,Public,6,6,0.796,0.363,7532,1847,3505,600,0.75,15.5,7392,0.53,312
Western Carolina University,NC,6390,Public,6,5,0.781,0.42,5000,706,2380,110,0.67,14.6,6554,0.55,313
University of North Carolina at Wilmington,NC,7558,Public,6,5,0.635,0.376,6635,1145,3680,500,0.82,19.1,6005,0.55,314
Wingate College,NC,7820,Private,5,5,0.821,0.377,1207,157,3400,550,0.69,13.9,7264,0.91,315
Winston-Salem State University,NC,6272,Private,5,4,0.752,0.481,2069,748,2762,300,0.67,13.5,8064,0.46,316
University of North Dakota,ND,5634,Public,7,6,0.81,0.735,8334,1435,2703,450,0.97,15.9,9424,0.49,317
University of Nebraska at Lincoln,NE,5595,Public,7,5,0.956,0.587,16454,3171,3145,500,0.86,15.1,6813,0.53,318
Dartmouth College,NH,19545,Private,10,9,0.265,0.478,3918,32,6070,550,0.95,4.7,29619,0.98,319
Franklin Pierce College,NH,13320,Private,5,5,0.862,0.1,1818,1197,4630,500,0.5,17.6,6418,0.51,320
New Hampshire College,NH,10608,Private,5,4,0.851,0.229,1557,2973,4740,400,0.34,38.4,5523,0.76,321
Notre Dame College,NH,9990,Private,5,5,0.855,0.33,500,311,4900,400,0.44,12.1,4948,0.33,322
Saint Anselm College,NH,12950,Private,7,6,0.741,0.331,1873,94,5400,450,0.7,14.5,6719,0.97,323
University of New Hampshire,NH,11180,Public,7,6,0.784,0.331,10358,1338,3862,650,0.89,17.5,7855,0.75,324
Keene State College,NH,7870,Public,6,5,0.784,0.336,3480,776,4157,500,0.73,16.1,6195,0.61,325
Daniel Webster College,NH,12292,Private,6,5,0.868,0.301,460,536,4934,500,0.61,22.2,8643,0.72,326
Caldwell College,NJ,8900,Private,6,5,0.597,0.353,693,868,4600,425,0.87,13.9,7922,0.55,327
Centenary College,NJ,11400,Private,7,6,0.846,0.288,396,526,5400,500,0.41,9.5,9583,0.24,328
College of Saint Elizabeth,NJ,10900,Private,6,6,0.809,0.34,493,968,5250,380,0.68,11.4,9447,0.78,329
Drew University,NJ,18432,Private,9,8,0.734,0.203,1192,87,5616,520,0.93,10.2,14907,0.83,330
Georgian Court College,NJ,9150,Private,6,5,0.807,0.452,1095,785,3950,500,0.56,12.2,7348,0.76,331
Rowan College of New Jersey,NJ,4356,Public,7,6,0.375,0.486,5303,3942,4830,800,0.76,22.1,7252,0.51,332
Jersey City State College,NJ,3946,Public,5,5,0.481,0.486,3817,1394,4800,400,0.63,14.9,8367,0.26,333
Monmouth College,NJ,12480,Private,6,5,0.695,0.254,1893,847,5290,530,0.7,14.2,9492,0.54,334
Montclair State University,NJ,3648,Public,6,5,0.408,0.406,6411,3186,4834,700,0.82,21.5,6717,0.58,335
New Jersey Institute of Technology,NJ,8832,Public,9,6,0.647,0.397,3311,1646,5376,700,0.92,13.5,12529,0.72,336
Kean College of New Jersey,NJ,2875,Public,6,5,0.694,0.476,6804,3933,3840,600,0.76,17.2,6001,0.4,337
William Paterson College of New Jersey,NJ,3135,Public,6,5,0.485,0.416,5938,2298,4170,300,0.77,23.5,6391,0.38,338
Princeton University,NJ,19900,Private,11,9,0.154,0.565,4540,146,5910,675,0.91,8.4,28320,0.99,339
Rider University,NJ,13250,Private,7,5,0.676,0.301,2748,1309,5420,700,0.84,12.3,11299,0.7,340
Rutgers State University at Newark,NJ,7410,Public,7,6,0.465,0.186,4005,1886,4748,690,0.9,17.4,11878,0.58,341
Seton Hall University,NJ,12000,Private,6,5,0.779,0.281,4384,1530,6484,650,0.81,14.4,10080,0.64,342
Saint Peter's College,NJ,9408,Private,5,4,0.88,0.375,1921,1154,5520,500,0.78,12.1,7669,0.53,343
Stevens Institute of Technology,NJ,16900,Private,10,7,0.706,0.304,1263,11,5680,450,0.89,19,12837,0.79,344
Trenton State College,NJ,5391,Public,8,7,0.459,0.408,5167,902,5411,700,0.81,14.4,8504,0.81,345
Rutgers State University at Camden,NJ,7411,Public,7,6,0.52,0.132,2585,1300,4748,690,0.9,18.6,10134,0.57,346
Rutgers at New Brunswick,NJ,7410,Public,8,7,0.547,0.172,21401,3712,4748,690,0.9,19.5,10474,0.77,347
Fairleigh Dickinson University,NJ,11010,Private,6,5,0.513,0.312,3553,3152,5400,623,0.77,16.7,9637,0.6,348
Ramapo College of New Jersey,NJ,4449,Public,7,6,0.458,0.378,2745,1938,4860,600,0.74,17.8,7333,0.47,349
Stockton College of New Jersey,NJ,3040,Public,8,6,0.393,0.45,4365,765,4351,711,0.78,19.5,5599,0.64,350
College of Santa Fe,NM,11138,Private,6,6,0.819,0.423,873,683,4138,600,0.4,14,8820,0.8,351
College of the Southwest,NM,3120,Private,6,4,0.792,0.443,352,147,3382,400,0.24,14.3,3190,0.2,352
University of Nevada at Reno,NV,6490,Public,6,5,0.84,0.633,5916,2939,4560,600,0.78,15.4,10407,0.54,353
Adelphi University,NY,12280,Private,7,6,0.88,0.266,2683,1227,6450,750,0.29,12.2,10527,0.56,354
Dowling College,NY,9000,Private,5,5,0.82,0.495,1059,2458,3100,450,0.77,12.4,11178,0.42,355
Cazenovia College,NY,9384,Private,4,4,0.892,0.154,1010,12,4840,600,0.22,14.3,7697,1.18,356
Clarkson University,NY,15960,Private,9,7,0.898,0.285,2332,53,5580,700,0.95,15.8,11659,0.77,357
Colgate University,NY,19510,Private,9,8,0.513,0.292,2649,25,5565,500,0.95,10.5,15494,0.93,358
College of Mount St. Vincent,NY,11790,Private,6,6,0.685,0.273,707,432,5770,500,0.75,11.9,10015,0.83,359
Columbia University,NY,18624,Private,10,9,0.286,0.451,3376,55,6664,550,0.97,5.9,30639,0.99,360
Barnard College,NY,17926,Private,9,9,0.562,0.379,2121,69,8124,600,0.83,10.3,12580,0.91,361
D'Youville College,NY,8920,Private,6,5,0.715,0.254,1074,336,4310,680,0.68,14.6,6898,0.46,362
Elmira College,NY,14990,Private,6,6,0.717,0.33,1109,502,4980,450,0.77,21.5,7502,0.64,363
Fordham University,NY,14235,Private,7,7,0.684,0.328,4740,1646,6965,600,0.86,14.4,10864,0.8,364
Hamilton College,NY,19700,Private,8,7,0.568,0.255,1646,24,5050,300,0.91,9.6,17761,0.91,365
Hartwick College,NY,17480,Private,7,6,0.828,0.249,1464,67,4780,500,0.75,12.3,11625,0.73,366
Hofstra University,NY,11600,Private,7,6,0.789,0.23,6534,1350,5920,1000,0.81,13.9,10093,0.6,367
Houghton College,NY,9990,Private,7,7,0.828,0.384,1210,26,3550,500,0.85,15,8187,0.67,368
Iona College,NY,10690,Private,6,5,0.722,0.259,3906,1446,6790,570,0.66,16,8107,0.66,369
Keuka College,NY,9600,Private,6,6,0.826,0.457,738,55,4550,600,0.55,13.3,7863,0.51,370
Manhattan College,NY,12370,Private,7,6,0.711,0.325,2578,254,6800,500,0.92,13.6,10062,0.79,371
Manhattanville College,NY,14700,Private,7,7,0.78,0.283,830,150,6550,450,0.97,11.3,11291,0.7,372
Marist College,NY,10700,Private,7,6,0.67,0.262,3557,658,5925,550,0.74,17.6,8408,0.69,373
Marymount College Tarrytown,NY,11510,Private,6,6,0.684,0.358,731,370,6450,575,0.71,10.3,10502,0.77,374
Marymount Manhattan College,NY,10200,Private,7,6,0.77,0.447,988,785,7000,350,0.63,11.7,10622,0.68,375
Mount Saint Mary College,NY,7470,Private,6,6,0.594,0.342,1170,429,4600,250,0.74,15.3,6898,0.88,376
Nazareth College of Rochester,NY,10850,Private,7,6,0.843,0.333,1274,471,5150,550,0.77,13.6,8797,0.61,377
New York University,NY,17748,Private,9,7,0.533,0.346,12408,2814,7262,450,0.87,7.8,21227,0.71,378
Nyack College,NY,7950,Private,6,5,0.615,0.565,508,34,3810,600,0.35,11.6,9685,0.55,379
Pace University,NY,11000,Private,7,5,0.454,0.406,5809,4379,5160,660,0.9,13.8,10059,0.62,380
Polytechnic University,NY,16200,Private,9,6,0.748,0.357,1379,214,4200,436,0.9,10.4,14329,0.62,381
Roberts Wesleyan College,NY,10220,Private,6,5,0.919,0.502,932,107,3546,520,0.45,13.4,7592,0.46,382
Sarah Lawrence College,NY,19300,Private,8,8,0.557,0.342,1000,105,6694,600,0.89,6.1,14779,0.83,383
Skidmore College,NY,18710,Private,8,7,0.635,0.217,2322,263,5970,500,0.87,12.7,14837,0.81,384
Siena College,NY,10800,Private,8,6,0.652,0.325,2669,616,5100,575,0.71,14.1,8189,1,385
St. Bonaventure University,NY,10456,Private,7,6,0.882,0.286,1688,131,4927,500,0.91,17.7,9828,0.78,386
St. John Fisher College,NY,10570,Private,7,6,0.778,0.333,1687,677,5600,400,0.86,14.5,7908,0.66,387
St. Lawrence University,NY,18720,Private,8,7,0.661,0.277,1801,45,5730,650,0.9,11.5,14980,0.85,388
St. Thomas Aquinas College,NY,8650,Private,5,5,0.707,0.353,1117,815,5700,500,0.69,16.1,6534,0.67,389
SUNY at Albany,NY,6550,Public,8,7,0.68,0.2,10168,1231,4355,700,0.93,17.4,9075,0.74,390
SUNY at Binghamton,NY,6550,Public,9,7,0.426,0.285,8544,671,4598,700,0.83,18,8055,0.8,391
SUNY at Stony Brook,NY,6550,Public,7,6,0.557,0.247,9744,1351,4712,600,0.91,10.5,13705,0.57,392
SUNY College  at Brockport,NY,6550,Public,7,5,0.489,0.254,5758,1363,4460,500,0.79,19,6632,0.49,393
SUNY College at Buffalo,NY,6550,Public,6,5,0.661,0.292,7626,2091,4040,550,0.71,18.7,7511,0.42,394
SUNY College at Cortland,NY,6550,Public,7,6,0.446,0.294,5011,346,4680,630,0.82,17.8,5563,0.53,395
SUNY College at Fredonia,NY,6550,Public,7,6,0.574,0.291,4123,298,4420,620,0.82,16.3,6442,0.66,396
SUNY College at Geneseo,NY,6550,Public,9,7,0.531,0.251,5060,146,4170,600,0.79,19.1,5716,0.76,397
SUNY College at New Paltz,NY,6550,Public,7,6,0.43,0.182,4658,1478,4240,550,0.85,15.3,6608,0.53,398
SUNY College at Oneonta,NY,6550,Public,7,6,0.58,0.2,4627,483,4952,500,0.7,17.1,6111,0.6,399
SUNY College  at Oswego,NY,6550,Public,8,6,0.57,0.321,6943,869,4810,500,0.69,22,5280,0.63,400
SUNY College at Plattsburgh,NY,6550,Public,7,6,0.646,0.238,5004,475,4176,600,0.8,17.9,6174,0.65,401
SUNY College at Potsdam,NY,6840,Public,7,7,0.727,0.284,3598,234,4660,500,0.71,15.1,6436,0.59,402
Utica College of Syracuse University,NY,12680,Private,6,5,0.765,0.262,1525,798,4924,525,0.64,12.3,8344,0.65,403
Vassar College,NY,18920,Private,9,9,0.529,0.348,2164,77,5950,600,0.9,9.7,17089,0.9,404
Wagner College,NY,13500,Private,7,6,0.717,0.411,1324,117,5800,585,0.67,13.2,9006,0.75,405
Wells College,NY,14900,Private,8,6,0.755,0.542,416,19,5550,600,0.93,8.3,13935,0.69,406
Yeshiva University,NY,12584,Private,9,8,0.855,0.707,1948,42,4192,520,0.86,5.2,22724,0.63,407
SUNY College at Purchase,NY,6550,Public,6,6,0.597,0.309,2478,1441,4760,1125,0.8,14.9,8170,0.46,408
SUNY at Buffalo,NY,6550,Public,8,6,0.642,0.32,13963,3124,4731,708,0.9,13.6,11177,0.56,409
New School for Social Research,NY,14710,Private,7,8,0.622,0.533,2609,1482,8020,1300,0.69,10.2,13578,0.59,410
Ashland University,OH,11431,Private,5,5,0.871,0.335,1874,757,4684,600,0.43,17.4,9090,0.66,411
Baldwin-Wallace College,OH,10995,Private,7,6,0.808,0.485,2718,1460,4410,1000,0.68,17.6,8086,0.85,412
Bluffton College,OH,9900,Private,7,5,0.743,0.407,760,81,3990,400,0.76,13.3,9073,0.58,413
Bowling Green State University,OH,7452,Public,6,5,0.793,0.419,13699,1213,3352,600,0.81,21.1,6918,0.67,414
Cedarville College,OH,7344,Private,7,6,0.834,0.565,2196,82,4410,570,0.5,15.3,6897,0.64,415
College of Mount St. Joseph,OH,9800,Private,6,5,0.777,0.384,1165,1232,4430,400,0.46,11.1,6889,1,416
Franciscan University of Steubenville,OH,9650,Private,7,6,0.817,0.504,1301,242,4400,600,0.57,14.9,6336,0.83,417
College of Wooster,OH,16240,Private,8,7,0.897,0.294,1704,1,4690,500,0.84,11.1,14140,0.69,418
Defiance College,OH,10850,Private,5,4,0.807,0.377,645,283,3670,400,0.58,12.8,7505,0.56,419
Heidelberg College,OH,13780,Private,7,5,0.931,0.351,964,242,4410,500,0.68,12.5,9268,0.65,420
Hiram College,OH,14067,Private,7,7,0.791,0.335,1000,275,4560,400,0.75,10.6,12165,0.79,421
John Carroll University,OH,11700,Private,8,7,0.871,0.389,3168,392,5550,600,0.89,14.5,7738,0.89,422
Kent State University,OH,7854,Public,6,5,0.33,2.442,15615,3230,3666,500,0.81,20.8,6397,0.46,423
Kenyon College,OH,19240,Private,8,8,0.695,0.265,1445,1,3690,750,0.95,11.1,14067,0.88,424
Malone College,OH,9858,Private,6,5,0.867,0.565,1605,246,3700,450,0.42,17.6,4796,0.55,425
Muskingum College,OH,13240,Private,6,5,0.831,0.407,1115,70,3914,600,0.73,13.4,9333,0.73,426
Oberlin College,OH,19670,Private,9,8,0.579,0.245,2587,120,5820,575,0.77,10.1,16593,0.83,427
Ohio Northern University,OH,15990,Private,7,6,0.798,0.286,2502,66,4080,600,0.73,14.5,9979,0.83,428
Ohio University,OH,7629,Public,7,6,0.753,0.384,14861,1310,4095,550,0.79,20.4,8811,0.64,429
Ohio Wesleyan University,OH,16732,Private,8,7,0.776,0.269,1780,48,5650,550,0.93,12.1,12011,0.75,430
Tiffin University,OH,7600,Private,4,3,0.869,0.346,662,351,3800,600,0.59,19,5096,0.39,431
University of Akron,OH,7650,Public,6,5,0.823,0.619,12487,9295,3844,550,0.71,16.7,6025,0.43,432
University of Cincinnati,OH,8907,Public,7,6,0.81,0.434,11036,2011,4697,556,0.89,10.8,13889,0.54,433
University of Dayton,OH,11380,Private,8,7,0.832,0.285,5889,665,4220,500,0.81,14.8,8894,0.93,434
University of Toledo,OH,7441,Public,7,5,0.969,0.516,15428,5370,3719,550,0.81,20.4,6124,0.48,435
Ursuline College,OH,9600,Private,5,5,0.8,0.331,699,717,4202,450,0.39,10.5,7164,0.68,436
Wittenberg University,OH,15948,Private,8,7,0.879,0.331,1980,144,4404,400,0.82,12.8,10414,0.78,437
Xavier University,OH,11520,Private,7,6,0.921,0.385,2849,1107,4960,600,0.73,13.3,9189,0.83,438
Antioch University,OH,15476,Private,7,7,0.927,0.381,712,23,3336,400,0.69,11.3,42926,0.48,439
Oklahoma Christian University,OK,6400,Private,6,5,0.986,0.459,1419,228,3150,500,0.58,16.2,6578,0.45,440
Oklahoma State University,OK,5336,Public,7,6,0.865,0.557,12830,1658,3344,800,0.84,15.3,6433,0.48,441
Phillips University,OK,10500,Private,6,5,0.832,0.302,597,83,3860,600,0.58,11.6,8990,0.39,442
University of Tulsa,OK,11750,Private,8,7,0.909,0.447,2936,433,4160,1200,0.94,11.5,11743,0.47,443
Oral Roberts University,OK,7950,Private,7,6,0.531,0.972,2645,167,3994,480,0.51,15.5,7885,0.45,444
Western Baptist College,OR,9200,Private,5,5,0.846,0.539,513,23,4000,375,0.23,16.8,7269,0.51,445
Concordia College,OR,9600,Private,6,5,0.689,0.393,811,206,3150,500,0.56,14.3,5976,0.41,446
George Fox College,OR,12500,Private,6,6,0.897,0.405,1271,43,4130,400,0.53,13.5,7136,0.52,447
Linfield College,OR,13380,Private,8,6,0.761,0.386,1548,840,4210,500,0.89,17.8,8747,0.81,448
Oregon State University,OR,7890,Public,7,5,0.844,0.415,10332,929,3444,543,0.88,13.9,9383,0.45,449
Oregon Institute of Technology,OR,8676,Public,6,5,0.91,0.606,1774,809,3560,750,0.2,14.7,7556,0.41,450
Pacific University,OR,14210,Private,7,6,0.9,0.339,1041,35,3994,450,0.76,10.9,11216,0.42,451
Reed College,OR,19960,Private,9,9,0.73,0.228,1199,61,5490,500,0.9,11.8,15886,0.68,452
University of Portland,OR,12040,Private,7,6,0.845,0.282,2041,174,4100,600,0.92,13.2,9060,0.72,453
Warner Pacific College,OR,7940,Private,6,5,0.777,0.609,503,91,4032,450,0.39,12.9,7516,0.29,454
Willamette University,OR,14800,Private,8,7,0.8,0.298,1595,159,4620,400,0.91,13.3,10779,0.68,455
Albright College,PA,15595,Private,7,6,0.808,0.271,973,306,4400,300,0.79,11.3,11644,0.8,456
Beaver College,PA,12850,Private,7,6,0.731,0.409,878,519,5400,400,0.78,12.2,8954,0.73,457
Bryn Mawr College,PA,18165,Private,9,9,0.553,0.386,1088,16,6750,500,1,12.3,17449,0.89,458
Cabrini College,PA,10518,Private,5,5,0.825,0.453,1035,446,6250,300,0.59,16.5,7117,0.71,459
Carnegie Mellon University,PA,17900,Private,10,8,0.596,0.229,4265,291,5690,450,0.86,9.2,24386,0.74,460
Cedar Crest College,PA,14340,Private,6,6,0.782,0.326,791,764,5285,500,0.58,11.7,10961,0.74,461
Chatham College,PA,13500,Private,6,6,0.929,0.462,471,148,5230,400,0.95,9.3,16095,0.52,462
Chestnut Hill College,PA,10335,Private,6,6,0.743,0.496,518,232,5015,700,0.71,8.3,7729,0.73,463
Eastern College,PA,11190,Private,6,6,0.806,0.447,1057,355,4800,450,0.6,13.6,8135,0.54,464
Elizabethtown College,PA,14190,Private,7,6,0.763,0.231,1476,299,4400,500,0.65,12.8,9815,0.81,465
Gannon University,PA,10970,Private,7,6,0.774,0.355,2693,691,4280,500,0.47,13.3,7711,0.65,466
Geneva College,PA,9476,Private,7,6,0.799,0.444,1306,258,4820,500,0.67,20.1,6786,0.74,467
Grove City College,PA,5224,Private,9,7,0.446,0.516,2213,35,3048,525,0.65,18.4,4957,1,468
Gwynedd Mercy College,PA,11000,Private,7,6,0.624,0.439,716,1108,5550,500,0.36,7.8,7483,0.96,469
Immaculata College,PA,10000,Private,5,5,0.944,0.407,494,1305,5364,500,0.56,11.2,7305,0.69,470
Indiana University of Pennsylvania,PA,7352,Public,6,5,0.512,0.498,11375,1132,2906,500,0.77,20.6,6760,0.63,471
Juniata College,PA,14850,Private,8,7,0.855,0.347,1075,43,4460,450,0.97,12.7,12067,0.8,472
King's College,PA,10910,Private,7,6,0.723,0.362,500,541,5160,400,0.66,15.6,7649,0.87,473
La Salle University,PA,12600,Private,7,7,0.626,0.339,2738,1662,5610,450,0.9,15.1,9084,0.84,474
Lebanon Valley College,PA,13850,Private,7,6,0.765,0.302,965,502,4755,400,0.84,12.3,8196,0.85,475
Lincoln University,PA,4818,Public,4,4,0.657,0.299,1196,33,3400,350,0.71,12.6,10912,0.45,476
Lycoming College,PA,13900,Private,6,6,0.781,0.361,1363,74,4300,500,0.75,14,8024,0.72,477
Marywood College,PA,11040,Private,6,5,0.776,0.376,1452,402,4500,600,0.65,11.8,9034,0.66,478
Messiah College,PA,10300,Private,8,7,0.793,0.439,2258,53,5080,475,0.68,14.1,7762,0.89,479
Muhlenberg College,PA,16975,Private,8,7,0.729,0.252,1656,352,4565,600,0.76,12.8,10888,0.83,480
Widener University,PA,12350,Private,7,6,0.698,0.336,2186,2171,5370,500,0.88,12.6,9603,0.63,481
Bloomsburg Univ. of Pennsylvania,PA,7844,Public,7,6,0.447,0.339,5847,946,2948,500,0.66,18,7041,0.75,482
Kutztown University of Penn.,PA,8285,Public,6,6,0.483,0.4,5866,918,2970,500,0.58,19.4,6552,0.57,483
Lock Haven University of Pennsylvania,PA,7352,Public,7,6,0.62,0.294,3390,325,3620,225,0.47,16.1,6374,0.63,484
Millersville University of Penn.,PA,7844,Public,7,6,0.512,0.312,5146,1532,3830,450,0.72,16.8,7832,0.71,485
Shippensburg University of Penn.,PA,7844,Public,7,6,0.564,0.34,5268,300,3504,450,0.8,18.8,6719,0.72,486
West Chester University of Penn.,PA,7844,Public,6,6,0.544,0.388,7484,1904,4108,400,0.76,15.3,6773,0.52,487
University of the Arts,PA,12520,Private,6,5,0.723,0.412,1145,39,3860,1300,0.16,7.5,11641,0.57,488
Philadelphia Coll. of Textiles and Sci.,PA,11690,Private,6,5,0.819,0.372,1664,1042,5062,600,0.48,12.9,8028,0.68,489
